id,Location
9.70670770560078E+017,Bulgaria
9.70670765971567E+017,Birmingham City FC
9.70670687500124E+017,
9.70670658748387E+017,"Bowling Green, KY"
9.70670652003897E+017,"London, England"
9.70670592490987E+017,
9.70670559653695E+017,"Cleveland, OH"
9.70670551550349E+017,"Nova Iguaçu, Brasil"
9.70670542339547E+017,Gamer/Tutor. // JKT—SBY. 
9.70670538845811E+017,910 . 813 . 336.
9.7067053564964E+017,Southern Colordo
9.70670534320115E+017,"Miami, FL"
9.70670509217153E+017,Matt Terrys bedroom x
9.70670502686744E+017,Canada
9.70670485276189E+017,
9.70670478527488E+017,"Texas, USA"
9.70670456654135E+017,"Lahore, Pakistan"
9.70670443362443E+017,"Gotham, NYC"
9.70670440493404E+017,
9.70670438593507E+017,United States
9.70670432369238E+017,Follow You
9.70670429026308E+017,
9.70670428225237E+017,
9.70670423548428E+017,The City of Trees
9.70670414786695E+017,"San Antonio, TX"
9.70670412312056E+017,VSL
9.70670410802106E+017,Germany
9.70670410260939E+017,"McKinney, TX"
9.70670405773025E+017,"Vancouver, British Columbia"
9.70670381425144E+017,Itália
9.70670373292429E+017, Lay❤️
9.70670335115891E+017,"Brooklyn, NY"
9.70670333442298E+017,"Nova Iguaçu, Rio de Janeiro"
9.70670317600432E+017,"Delhi, India"
9.70670314282766E+017,"Fort Worth, TX"
9.70670310096851E+017,"Rio de Janeiro, Brazil"
9.70670296322728E+017,
9.70670292791103E+017,
9.7067026744073E+017,"Rochester, Minn."
9.70670267268608E+017,
9.70670257600975E+017,"Charlotte, NC"
9.7067025725687E+017,
9.70670249501692E+017,United States Army 
9.70670236323086E+017,"San Diego, CA"
9.70670224247751E+017,
9.7067021859797E+017,India
9.70670205222424E+017,
9.70670159202538E+017,
9.70670154332897E+017,"Downs Hall, Rm. 126"
9.70670123005686E+017,"Philly'ish, PA"
9.70670115607011E+017,brasil ilheus-bahia
9.7067010525954E+017,
9.706700664832E+017,
9.70670060166525E+017,"near Thunder Bay, Ontario"
9.70670036410163E+017,
9.70670014977266E+017,"New York, NY"
9.70669990922899E+017,"Texas, USA"
9.70669959373312E+017,"Naperville, IL"
9.70669934970733E+017,Orangeville/Centre Wellington
9.70669932219286E+017,
9.70669930877215E+017,
9.70669930139046E+017,
9.70669899407352E+017,
9.70669863055356E+017,"Columbia, S.C."
9.70669848064942E+017,worldwide
9.70669841601397E+017,
9.70669774274359E+017,Arizona
9.70669769614652E+017,florida
9.70669768868016E+017,Lilongwe
9.70669766619947E+017,Canada
9.70669766552773E+017,"Orlando & Jacksonville, FL"
9.7066976428358E+017,
9.70669763369357E+017,
9.70669753885954E+017,
9.70669750090158E+017,"Paris, France"
9.70669677499175E+017,"Seoul, Republic of Korea"
9.70669665977381E+017,TRASH BIN 
9.70669655424725E+017,21
9.70669640778121E+017,Philadelphia
9.70669634222424E+017,"New Orleans, LA"
9.70669623250211E+017,London via Devon
9.70669611245957E+017,
9.70669576089428E+017,
9.70669569906958E+017,La La Land
9.70669567713268E+017,
9.70669553968493E+017,
9.70669540064424E+017,
9.70669532917502E+017,"Dallas, TX"
9.70669525501907E+017,"Menlo Park, CA"
9.70669522943382E+017,Your Dreams 
9.70669519030153E+017,
9.70669517805441E+017,305 🇵🇷/🇨🇺
9.70669512927322E+017,canada
9.70669501388763E+017,
9.70669498427761E+017,
9.70669492308029E+017,
9.70669483747574E+017,"Wales, United Kingdom"
9.70669475677856E+017,
9.70669472049779E+017,
9.70669459471036E+017,"Peoria, IL"
9.70669448272196E+017,Ecuador
9.70669446175085E+017,"Stephenville, TX"
9.70669429922128E+017,"Rio de Janeiro, Brasil"
9.70669408699015E+017,Rio de Janeiro
9.70669407985914E+017,"New Mexico, USA"
9.7066939416148E+017,Bucuresti
9.7066939247541E+017,"Saskatchewan, Canada"
9.70669388927037E+017,"Bucureşti, România"
9.70669378634178E+017,
9.70669340927447E+017,"Dover, NH"
9.70669327899701E+017,
9.7066932695196E+017,
9.70669322350748E+017,Rio de janeiro - ZN
9.70669288683135E+017,"Philadelphia, PA"
9.70669274359566E+017,"Barnsley, England"
9.70669259847295E+017,"Rondônia, Brazil"
9.70669245372813E+017,Hogwarts School
9.70669238653464E+017,Rio de Janeiro
9.70669228624896E+017,7 0 4 .
9.70669216545174E+017,
9.70669184173539E+017,"Las Vegas, NV"
9.70669141886734E+017,Michigan
9.70669126028026E+017,United States
9.70669111880634E+017,Dreamville
9.70669072781336E+017,Fenkell Ave
9.70669059946811E+017,"Washington, DC"
9.7066905792503E+017,nct china line
9.70669033560445E+017,Turkey
9.70669029487727E+017,Philly
9.70669027721957E+017,"Falls Church, VA"
9.70668976152961E+017,"Cincinnati, OH, USA"
9.70668967021941E+017,"Limerick, Ireland"
9.70668945417097E+017,
