Word	Count
march	135
gun	129
school	113
people	105
students	102
lives	78
washington	74
high	64
rally	62
shooting	61
student	59
parkland	53
saturday	53
douglas	52
violence	52
stoneman	49
thousands	45
crowd	40
time	36
florida	36
year-old	34
killed	32
held	32
change	32
mass	31
york	30
control	30
world	30
women	30
movement	29
marjory	28
told	26
gathered	25
national	25
shootings	25
hundreds	24
lez	24
today	24
rallies	23
country	23
event	23
survivors	22
years	22
young	22
minutes	21
d.c	21
children	21
protest	20
home	20
support	20
american	19
year	19
rights	19
city	19
white	18
trump	18
read	18
america	18
demonstrators	18
president	18
emma	18
guns	18
fla	18
organizers	17
signs	17
times	17
morales	17
marches	17
south	16
capitol	16
stop	16
united	16
laws	16
states	16
cities	16
protests	16
day	16
power	16
protesters	16
kasky	15
ms	15
generation	15
p.m	15
marchers	15
chicago	15
state	15
view	14
hotel	14
rifle	14
editor	14
angeles	14
attended	14
lawmakers	14
activists	14
page	14
king	14
los	14
amendment	14
life	14
stage	14
front	14
spoke	14
media	14
including	13
feel	13
senior	13
park	13
austin	13
address	13
friends	13
love	13
weapons	12
members	12
brother	12
nra	12
youth	12
days	12
vietnam	12
lot	12
vote	12
fight	12
junior	12
group	12
west	12
added	12
kids	12
house	12
sister	12
work	12
americans	12
belleclaire	11
news	11
led	11
called	11
anti-gun	11
lost	11
congress	11
early	11
social	11
show	11
shooter	11
walk	11
felt	11
action	11
speakers	11
u.s	11
book	11
avenue	11
pennsylvania	10
sign	10
victims	10
silent	10
chanted	10
speech	10
politicians	10
stood	10
streets	10
jackie	10
ban	10
political	10
sense	10
demand	10
background	10
system	10
started	10
common	10
wanted	10
cyrus	10
interview	10
seconds	9
part	9
organized	9
large	9
cover	9
adults	9
continued	9
left	9
public	9
newsletter	9
events	9
police	9
email	9
miley	9
box	9
months	9
war	9
nationwide	9
real	9
place	9
japan	9
main	9
class	9
dream	9
friday	9
asked	9
building	9
association	9
planned	8
john	8
side	8
newsletters	8
small	8
issues	8
wind	8
teachers	8
week	8
robot	8
turn	8
select	8
downtown	8
pass	8
law	8
silence	8
moment	8
call	8
clicking	8
stand	8
turned	8
parents	8
verify	8
wore	8
gonzalez	8
rallied	8
create	8
focus	8
invalid	8
month	8
walked	8
re-enter	8
video	8
cameron	8
calling	8
subscribe	8
voices	8
issue	8
gen	7
supporters	7
put	7
bill	7
hope	7
university	7
tears	7
efforts	7
eye	7
shot	7
message	7
men	7
expected	7
red	7
legislation	7
a.m	7
ariana	7
covered	7
alex	7
death	7
money	7
dead	7
safety	7
inclusive	7
friend	7
million	7
kind	7
town	7
filled	7
leaders	7
safe	7
stricter	7
martin	7
tens	7
garden	7
joined	7
job	7
morning	7
marched	7
grande	7
wake	7
helped	7
teacher	7
face	7
story	7
clooney	7
jennifer	7
older	7
live	7
gun-control	7
marching	7
yolanda	6
response	6
failed	6
ground	6
checks	6
midterm	6
granddaughter	6
hours	6
luther	6
women's	6
north	6
alaska	6
janet	6
school's	6
elections	6
activism	6
hour	6
central	6
reporters	6
urged	6
huge	6
upper	6
emotional	6
sandy	6
names	6
civil	6
talk	6
demonstrations	6
demonstration	6
traveled	6
lead	6
twitter	6
columbine	6
gun-free	6
man	6
speaker	6
age	6
lee	6
schools	6
canada	6
teens	6
problem	6
bring	6
newspaper	6
born	6
long	6
blocks	6
generations	6
gunman	6
magazine	6
saturday's	6
donated	6
hogg	6
hook	6
february	6
teenagers	6
office	6
classmates	6
leading	6
zealand	6
statement	6
energy	6
family	6
arrived	6
effective	6
talking	6
woman	6
month's	6
deitsch	6
fellow	6
set	6
tweeted	6
drew	6
va	6
worked	6
close	6
hawaii	6
coverage	6
girls	6
stories	6
brought	5
politics	5
activist	5
onstage	5
middle	5
onassis	5
honor	5
met	5
hold	5
daughter	5
future	5
government	5
hands	5
michelle	5
renee	5
advocates	5
spring	5
corin	5
community	5
demanding	5
song	5
georgia	5
period	5
india	5
number	5
staff	5
today's	5
brown	5
find	5
working	5
atlanta	5
allen	5
cheering	5
teen	5
hudson	5
boston	5
international	5
student-led	5
deaths	5
changed	5
assault	5
lewis	5
australia	5
original	5
began	5
jack	5
light	5
point	5
loved	5
calls	5
sales	5
peers	5
watching	5
david	5
reporting	5
coming	5
included	5
offered	5
families	5
focused	5
lin-manuel	5
holding	5
virginia	5
newtown	5
similar	5
matter	5
free	5
nation	5
israel	5
thought	5
finally	5
freshman	5
force	5
montana	5
donald	5
ann	5
died	5
waiting	5
reading	5
leader	5
black	5
campaign	5
aware	5
katzenberg	4
ben	4
nancy	4
sang	4
true	4
area	4
hear	4
wilson	4
noon	4
celebrities	4
organizations	4
head	4
great	4
houston	4
movements	4
philippines	4
carried	4
chile	4
speak	4
straight	4
learn	4
ho	4
costa	4
door	4
personal	4
protect	4
universal	4
pyle	4
triumph	4
college	4
lady	4
california	4
feels	4
eagle	4
millennials	4
upcoming	4
dozens	4
important	4
a-lago	4
fear	4
cold	4
tired	4
correct	4
street	4
music	4
delaney	4
living	4
learning	4
courageous	4
taraborrelli	4
walkouts	4
donations	4
gin	4
miranda	4
ga	4
twenty	4
realized	4
organizing	4
buildings	4
break	4
manhattan	4
star	4
gather	4
george	4
democrat	4
exercising	4
keeping	4
equal	4
mission	4
texas	4
abandon	4
friendships	4
ryan	4
st	4
massacre	4
degree	4
rubio	4
broadway	4
plan	4
groups	4
platt	4
expect	4
historic	4
managed	4
africa	4
covering	4
wrong	4
popular	4
spent	4
climate	4
color	4
chant	4
ceased	4
finland	4
effects	4
ghana	4
single	4
limestone	4
jr	4
order	4
bosley	4
hey	4
korea	4
describing	4
signed	4
elementary	4
pop	4
polls	4
supported	4
shriver	4
protesting	4
rica	4
survivor	4
armed	4
bright	4
powerful	4
neveragain	4
antarctica	4
diana	4
author	4
night	4
half-million	4
room	4
image	4
short	4
series	4
research	4
walking	4
era	4
rome	4
lobby	4
eyes	4
remember	4
colombia	4
mckenna	4
tarr	4
featured	4
voters	4
results	4
bump	4
iceland	4
argentina	4
connecticut	4
impacted	4
republican	4
wait	4
afternoon	4
received	4
bans	4
status	4
weekend	4
largest	4
spain	4
argues	4
takes	4
paris	4
fix	4
center	4
showing	4
embassy	4
century	4
winfrey	4
jaclyn	4
micronesia	4
brooklyn	4
care	4
debate	4
major	4
build	4
spielberg	4
chavez	4
run	4
europe	4
officials	4
lose	4
asia	4
press	4
latest	4
making	4
attending	4
kelly	4
figure	3
madrid	3
sophomore	3
democratic	3
journalists	3
oprah	3
buses	3
raised	3
estate	3
engaged	3
acts	3
shows	3
practice	3
check	3
kennedy	3
apartment	3
channel	3
rhs	3
sea	3
landmark	3
paul	3
quiet	3
waved	3
france	3
arrest	3
applaud	3
moved	3
current	3
participate	3
helps	3
murray	3
anchorage	3
challenged	3
numerous	3
goal	3
shutdown	3
conversation	3
wealth	3
serve	3
politician	3
lo	3
watch	3
missed	3
solidarity	3
vogue	3
give	3
final	3
thorne	3
english	3
sexual	3
daily	3
mix	3
showed	3
ottawa	3
lease	3
health	3
