Word	Count
march,lives	36
school,high	35
march,students	27
gun,school	23
march,people	23
march,gun	22
march,washington	22
march,school	22
school,students	22
students,high	21
march,high	21
students,lives	20
students,washington	20
school,people	19
gun,high	19
people,students	18
lives,washington	17
school,washington	17
gun,students	17
gun,people	16
gun,washington	15
gun,shooting	15
school,lives	15
people,lives	15
people,high	15
washington,high	14
march,rally	14
gun,lives	14
high,shooting	13
gun,rally	13
people,washington	13
school,shooting	13
lives,high	12
students,shooting	11
people,rally	11
school,rally	11
high,rally	9
washington,rally	9
rally,shooting	9
lives,shooting	8
students,rally	8
washington,shooting	8
lives,rally	7
march,shooting	7
people,shooting	6
