Word	Count
school,high	21
douglas,stoneman	21
march,lives	18
march,students	12
march,people	11
school,stoneman	10
students,high	10
high,stoneman	10
students,school	10
school,douglas	10
high,douglas	10
high,student	10
march,high	10
gun,stoneman	10
gun,school	10
gun,douglas	10
gun,high	9
march,school	9
march,gun	9
student,stoneman	8
student,douglas	8
school,student	7
people,school	7
march,student	7
people,students	7
gun,people	6
people,lives	6
students,student	6
gun,students	6
students,lives	6
march,douglas	5
march,stoneman	5
school,lives	5
people,stoneman	4
students,stoneman	4
high,lives	4
students,douglas	4
people,douglas	4
student,lives	4
people,high	4
gun,student	4
gun,lives	3
people,student	3
douglas,lives	2
stoneman,lives	2
