Word	Count
march	43
gun	40
people	39
students	38
school	37
high	30
student	28
douglas	21
stoneman	21
lives	21
washington	20
violence	19
mass	19
parkland	18
rally	17
morales	17
movement	16
shooting	16
change	15
event	14
gonzález	14
time	13
world	13
today	13
killed	12
survivors	12
years	11
told	11
generation	10
thousands	10
shootings	9
national	9
fla	9
kasky	9
editor	9
crowd	9
marjory	9
senior	8
held	8
white	8
lot	8
saturday	8
young	8
children	8
american	8
marches	8
media	8
country	8
stage	7
attended	7
emma	7
gen	7
congress	7
rights	7
president	7
d.c	7
hundreds	7
read	7
nra	7
social	6
year-old	6
school's	6
reporters	6
control	6
coverage	6
minutes	6
feel	6
part	6
political	6
protest	6
kids	6
added	6
interview	6
sister	6
peers	5
weapons	5
including	5
house	5
chicago	5
today's	5
rifle	5
story	5
focus	5
trump	5
lawmakers	5
cities	5
real	5
failed	5
americans	5
walk	5
teachers	5
stop	5
sign	5
issues	5
junior	5
problem	5
newspaper	5
youth	5
members	5
victims	5
demand	5
news	4
sandy	4
association	4
cameron	4
stricter	4
create	4
law	4
aware	4
mission	4
brother	4
wind	4
america	4
gunman	4
fight	4
eagle	4
politicians	4
force	4
rallies	4
activists	4
hook	4
cover	4
february	4
york	4
war	4
va	4
gonzalez	4
generations	4
covered	4
corin	4
safe	4
waiting	4
worked	4
inclusive	4
protests	4
parents	4
shooter	4
shriver	4
asked	4
king	4
fellow	4
image	4
wanted	4
guns	4
view	4
millennials	4
voices	4
demonstration	4
virginia	4
wilson	4
vote	4
staff	4
main	4
argues	4
leading	3
spielberg	3
dream	3
correspondent	3
turn	3
nationwide	3
baker	3
home	3
face	3
david	3
laws	3
personal	3
elementary	3
adults	3
silent	3
florida	3
impacted	3
spoke	3
led	3
schools	3
ariana	3
twitter	3
common	3
resources	3
place	3
born	3
hold	3
message	3
magazine	3
expected	3
demanding	3
ability	3
equipped	3
miley	3
lin-manuel	3
state	3
managed	3
feels	3
prominently	3
system	3
granddaughter	3
february's	3
zimand	3
activism	3
covering	3
brutto	3
nation	3
vietnam	3
voice	3
gather	3
work	3
annandale	3
vocal	3
support	3
co-founder	3
speakers	3
older	3
katzenberg	3
bosley	3
times	3
lost	3
lo	3
honor	3
large	3
newtown	3
signs	3
capitol	3
half-million	3
cyrus	3
number	3
effective	3
saed	3
issue	3
address	3
amendment	3
bill	3
involvement	3
grande	3
life	3
conversation	3
teenagers	3
previous	3
coming	3
proving	3
action	3
fehl	3
friday	3
eye	3
drew	3
opinions	3
day	3
easier	3
rhs	3
finally	3
organizers	3
saturday's	3
politics	3
hogg	3
featured	3
traveled	3
put	3
jaclyn	3
streets	3
walkout	3
days	3
beacon	2
info	2
martin	2
wessel	2
sen	2
yolanda	2
video	2
ed	2
reporting	2
donald	2
april	2
zipoli	2
platt	2
angeles	2
ben	2
attendance	2
neveragain	2
prevent	2
organized	2
results	2
hands	2
dc	2
mobilized	2
shields	2
spring	2
alexandria	2
biggest	2
learn	2
jacklyn	2
cnn	2
avenue	2
survivor	2
burlington	2
succeeded	2
activist	2
gallup	2
experience	2
pennsylvania	2
appeared	2
kind	2
time's	2
build	2
upcoming	2
demonstrations	2
lsu	2
family	2
century	2
year	2
gun-free	2
walking	2
ads	2
zahner	2
renee	2
anti-gun	2
pressure	2
correct	2
talked	2
death	2
seconds	2
criticized	2
moment	2
cheering	2
aired	2
close	2
series	2
participate	2
book	2
deitsch	2
connecticut	2
los	2
neutral	2
call	2
included	2
involved	2
trapped	2
estimated	2
opportunity	2
musicians	2
job	2
intersectionality	2
events	2
pioneering	2
cuban	2
door	2
downtown	2
clooney	2
culture	2
brown	2
columbia	2
cbs	2
sharyn	2
allowed	2
phones	2
publications	2
newseum	2
shadow	2
blocks	2
noon	2
teacher	2
talk	2
identity	2
tired	2
organizing	2
tragedy	2
specific	2
focused	2
cristina	2
alfonsi	2
a-blast	2
thought	2
pictures	2
length	2
vogue	2
ryan	2
daily	2
page	2
present	2
called	2
sales	2
wore	2
families	2
happened	2
courageous	2
immediately	2
miranda	2
expense	2
realize	2
hoop	2
sophie	2
gathered	2
emblematic	2
fix	2
strength	2
professor	2
michelle	2
juggle	2
inexcusable	2
montgomery	2
highest	2
front	2
america's	2
share	2
alex	2
hall	2
closets	2
week	2
wednesday	2
mess	2
talking	2
singh	2
conducted	2
john	2
emphasized	2
power	2
teens	2
tampa	2
poll	2
deaths	2
corinn	2
holding	2
energy	2
sophomore	2
expect	2
perspective	2
bring	2
public	2
class	2
brought	2
walkouts	2
primarily	2
mcclintock	2
inaction	2
impact	2
luther	2
jersey	2
angle	2
left	2
efforts	2
op-ed	2
girls	2
lead	2
columbine	2
cleaning	2
raise	2
million	2
strong	2
tells	2
intersecting	2
showing	2
latinx	2
author	2
police	2
sense	2
mistakes	2
drawn	2
silver	2
comprehensive	2
civil	2
protesters	2
mar	2
plan	2
schumer	2
native	2
filled	2
bisexual	2
exercising	2
style	2
chicago's	2
tweeted	2
cnbc	2
life's	2
ballard	2
met	2
background	2
started	2
first-hand	2
paper	2
university	2
friends	2
a-lago	2
ann	2
thinks	2
numerous	2
post	2
ways	2
single	2
statement	2
lose	2
interlocking	2
town	2
shot	2
journalists	2
huge	2
applaud	2
teen	2
posters	2
protesting	2
club	1
bread	1
democratic	1
latina	1
insane	1
retired	1
danger	1
planned	1
st	1
deb	1
worry	1
fear	1
heard	1
capable	1
ceased	1
early	1
organize	1
cincinnati	1
commercial	1
newman	1
juniors	1
neighborhoods	1
helped	1
zaire	1
hopes	1
survived	1
team	1
note	1
crumbs	1
drama	1
serve	1
explained	1
relate	1
yvonne	1
marginalized	1
representative	1
prior	1
evening	1
tears	1
mayor	1
views	1
ann's	1
ogden	1
felt	1
realizing	1
latest	1
loved	1
exposed	1
jennifer	1
lez's	1
goldberg	1
sad	1
avoid	1
african-american	1
changed	1
palm	1
cared	1
carrying	1
article	1
month	1
history	1
problem-solving	1
publication	1
grateful	1
constantly	1
