Word	Count
gun	806
march	573
people	537
students	477
kids	411
marchforourlivesdc	395
neveragain	361
parkland	360
school	319
today	317
violence	308
lives	299
nra	294
guns	259
support	225
young	219
movement	213
trump	196
day	185
time	184
proud	183
change	181
dc	174
shooting	166
love	164
country	159
children	159
student	158
stand	157
good	156
sign	145
stop	143
great	139
marchforourlivesboston	138
vote	138
control	133
powerful	128
marchforourlivesla	125
high	124
watch	124
join	122
hey	122
show	119
america	119
world	116
fight	111
hope	110
marching	109
washington	109
video	108
maga	103
town	102
saturday	101
hogg	101
rights	100
rally	100
news	100
david	99
protest	98
youth	98
laws	97
amazing	95
year	92
week	89
american	86
give	86
schools	84
laura	84
amendment	84
marched	84
left	83
mass	83
guncontrol	83
real	81
gunreformnow	81
black	80
theresistance	79
police	79
state	78
work	77
money	75
common	75
generation	74
remember	74
check	74
ingraham	73
part	73
months	73
call	72
organizers	71
speak	71
americans	71
signs	70
hall	70
follow	70
future	69
ban	69
shot	69
event	69
planned	67
feel	67
action	67
resist	67
life	66
voices	66
read	66
enoughisenough	65
happy	65
speech	65
you’re	65
history	64
friends	64
teens	64
king	64
permit	64
making	64
white	64
man	64
years	63
thousands	63
april	63
photo	63
national	62
killed	62
adults	62
important	62
boston	61
message	61
lost	61
supporting	61
safety	60
survivors	59
rt	59
we’re	59
problem	59
streets	59
townhallforourlives	58
live	58
weapons	58
liberal	58
d.c	58
sense	57
florida	57
media	57
shootings	56
group	56
talk	56
power	56
leaders	56
family	55
members	54
days	54
big	54
weekend	54
teachers	54
davidhogg	54
msdstrong	54
free	54
words	54
clear	54
blacklivesmatter	54
tomorrow	53
put	53
crowd	53
fact	52
attended	52
ted	52
listen	52
million	52
protect	52
assault	52
kill	51
can’t	51
bad	51
activists	51
demand	51
victims	51
stay	51
guys	51
long	51
stoneman	50
lot	50
ready	49
marches	49
calling	49
brother	49
president	49
millions	49
find	48
share	48
attack	48
march4ourlives	48
inspired	48
that’s	48
story	48
douglas	48
child	48
guy	47
hear	47
talking	47
wait	47
heard	47
full	47
democrats	46
politicians	46
bully	46
guncontrolnow	45
women	45
organized	45
war	45
continue	45
coming	45
retweet	45
care	45
moment	44
incredibly	44
speaking	44
worth	44
incredible	44
reform	44
wow	43
trumprussia	43
msd	43
political	43
yesterday	43
law	43
gop	42
city	42
resistance	42
standing	42
post	42
truth	42
safe	41
repeal	41
save	41
emma	41
families	41
let’s	41
parklandstudents	41
government	41
voice	41
paid	41
demanding	41
register	40
point	40
true	40
youtube	40
start	40
social	39
forget	39
local	39
soros	39
latest	39
ariana	39
walkout	39
didn’t	39
fighting	39
nation	39
protesters	39
involved	39
kid	39
st	38
solidarity	38
thoughts	38
tweet	38
fox	38
twitter	38
citizens	38
nugent	38
usa	38
hate	38
community	38
wrong	38
chicago	37
states	37
beautiful	37
gunreform	37
age	37
teacher	37
honor	37
woman	36
mlk	36
john	36
awesome	36
easter	36
parents	35
leading	35
gunviolence	35
price	35
issue	35
armed	35
showed	35
happened	35
survivor	34
called	34
doesn’t	34
inspiring	34
daughter	34
led	34
beginning	34
friend	34
bullying	34
public	34
deaths	33
justice	33
add	33
home	33
report	33
voting	33
strong	33
security	33
democracy	32
fear	32
daily	32
entire	32
person	32
discuss	32
stories	32
times	32
busy	32
stage	32
boycott	32
republican	31
learn	31
wanted	31
republicans	31
hundreds	31
understand	31
he’s	31
article	31
matter	31
answer	31
reason	31
buy	31
top	31
human	31
lead	31
place	31
voters	30
congress	30
tag	30
photos	30
yeah	30
thought	30
martin	30
obama	30
isn’t	30
south	30
naomi	29
represent	29
damn	29
house	29
events	29
teenagers	29
job	29
god	29
front	29
nyc	29
parklandshooting	29
cnn	29
shooter	29
campaign	29
fake	29
backpacks	29
marjory	29
text	29
courage	28
folks	28
single	28
dollars	28
agree	28
bring	28
step	28
peace	28
anti-gun	28
absolutely	28
here’s	28
owners	28
district	28
idea	28
qanon	27
spread	27
lol	27
girls	27
military	27
plan	27
dear	27
kind	27
attacks	27
gave	27
constitution	27
activist	27
working	26
hq	26
congressional	26
told	26
face	26
lawmakers	26
team	26
experience	26
spoke	26
word	26
brave	26
shows	26
innocent	26
girl	26
asked	26
blm	26
civil	26
murder	26
telling	25
paul	25
hitler	25
small	25
guess	25
breaking	25
there’s	25
college	25
year-old	25
iwillmarch	25
communities	25
create	25
advertising	25
honored	25
signsforourlives	25
bill	25
victim	25
counter	25
art	25
boy	25
joined	25
send	25
simple	24
granddaughter	24
thinking	24
boycottnra	24
sister	24
raise	24
pictures	24
yolanda	24
propaganda	24
agenda	24
watched	24
run	24
started	24
they’re	24
november	24
morning	24
petition	24
giving	24
gonna	24
death	24
ties	24
coverage	24
lausd	23
tonight	23
legal	23
meet	23
weeks	23
moving	23
hiding	23
marchers	23
background	23
open	23
hero	23
request	23
protestors	23
facts	23
banned	23
listening	23
ca	23
safer	23
attention	23
blog	23
candidate	23
wrote	23
literally	23
shit	23
dr	23
reminder	23
la	23
meeting	23
heart	23
los	22
favorite	22
reminds	22
number	22
gonzalez	22
song	22
politics	22
killing	22
bullied	22
die	22
liberals	22
dream	22
solution	22
debate	22
spirit	22
cartoon	22
idiots	22
fri	22
false	22
hunter	22
luther	22
retweeted	22
murdered	22
case	22
womensmarch	22
lies	22
huge	22
performing	21
issues	21
today's	21
picture	21
massachusetts	21
win	21
hell	21
created	21
hold	21
instagram	21
won’t	21
california	21
united	21
policy	21
fuck	21
prayers	21
wasn’t	21
flag	21
doubt	21
thinks	21
fun	21
class	21
wake	21
color	21
health	21
move	21
men	21
watching	21
complete	21
allowed	21
rate	21
pass	21
sending	20
easy	20
majority	20
checks	20
attacking	20
u.s	20
afraid	20
mental	20
trumpcolluded	20
cruz	20
fbi	20
deserve	20
nice	20
neveragainmsd	20
average	20
guncontolnow	20
actual	20
sandy	20
running	20
ran	20
hard	20
pro	20
y’all	20
jr	20
stupid	20
education	20
question	20
fund	20
met	20
happening	20
soul	19
board	19
difference	19
progressives	19
angeles	19
london	19
push	19
dead	19
supports	19
list	19
profile	19
member	19
takes	19
corruption	19
she’s	19
glad	19
pic	19
senator	19
stands	19
means	19
illegal	19
shut	19
died	19
backpack	19
turnout	19
survived	19
thread	19
released	19
lie	19
stephonclark	19
protests	19
son	19
silence	19
frank	19
trumptrain	19
fellow	19
committed	19
rest	19
worry	19
gunsense	19
episode	19
chance	19
speaks	19
organizing	19
i’ve	19
learned	19
ignore	19
abortion	19
democratic	19
icymi	18
raised	18
wecallbs	18
activism	18
popular	18
carry	18
crime	18
election	18
massive	18
game	18
due	18
energy	18
aclu	18
weapon	18
parklandschoolshooting	18
response	18
freedom	18
pretty	18
side	18
walk	18
im	18
conversation	18
link	18
apology	18
wisconsin	18
advocate	18
sad	18
gt	18
special	18
application	18
late	18
losing	17
massacre	17
trump’s	17
putin	17
voter	17
votethemout	17
funded	17
dems	17
mother	17
research	17
lose	17
excited	17
babies	17
attend	17
knew	17
aren’t	17
ar	17
interesting	17
groups	17
helped	17
minutes	17
proof	17
arm	17
protesting	17
total	17
written	17
line	17
emotional	17
cities	17
happen	17
marchforourlivesnyc	17
page	17
participated	17
pm	17
tells	17
today’s	17
funny	17
rifle	17
leadership	17
thinker	17
pollack	17
ppl	17
racist	17
teen	17
russian	16
realize	16
night	16
notonemore	16
alex	16
bullets	16
donate	16
ur	16
lying	16
friday	16
everyday	16
office	16
hands	16
sick	16
showing	16
calls	16
expect	16
sinclair	16
george	16
metoo	16
courageous	16
order	16
visit	16
representing	16
officially	16
cut	16
educate	16
organization	16
cc	16
terrorist	16
silent	16
mt	16
yo	16
lots	16
beaudry	16
halls	16
legislation	16
bs	16
advertisers	16
responsible	16
including	16
respect	16
defend	16
turn	16
performance	16
pics	16
potus	16
explain	16
numbers	16
held	16
veteran	15
tweets	15
loved	15
msm	15
space	15
sharing	15
active	15
prove	15
grande	15
renee	15
business	15
federal	15
shared	15
disgusting	15
holding	15
moved	15
what’s	15
drive	15
brown	15
anti	15
leader	15
seattle	15
firearm	15
supporters	15
demforce	15
hit	15
hillary	15
yep	15
foxnews	15
al	15
advocates	15
ads	15
based	15
stabbings	15
culture	15
fair	15
wadler	15
registered	15
donald	15
mom	15
edna	15
lack	15
alright	15
short	15
points	15
unfolded	15
missed	15
revolution	15
imagine	15
posting	15
shoot	14
conservatives	14
donated	14
strength	14
organize	14
ndamendment	14
covers	14
wonderful	14
i’ll	14
books	14
party	14
posters	14
scared	14
participating	14
progressive	14
policies	14
smart	14
student-led	14
longer	14
cameron	14
comments	14
louis	14
patriots	14
credit	14
junior	14
breakingballet	14
nuts	14
fl	14
jesus	14
puts	14
liberty	14
totally	14
conservative	14
rifles	14
violent	14
positive	14
boss	14
slams	14
red	14
drop	14
ass	14
destroy	14
cares	14
posted	14
demonstration	14
tide	14
impact	14
church	14
elections	14
tcot	14
speeches	14
cover	14
miley	14
registration	13
protecting	13
cyber	13
ep	13
poem	13
james	13
older	13
play	13
talks	13
elected	13
hypocrisy	13
evil	13
address	13
radical	13
views	13
clean	13
month	13
bunch	13
pray	13
pathetic	13
felt	13
nationwide	13
interview	13
spent	13
trust	13
steps	13
participate	13
sat	13
gathered	13
received	13
room	13
posts	13
tags	13
higher	13
officers	13
record	13
b/c	13
rep	13
amount	13
star	13
defense	13
knives	13
afghanistan	13
tv	13
poll	13
joining	13
society	13
angle	13
related	13
hook	13
stronger	13
york	13
dangerous	13
hogg's	13
charge	13
choice	13
website	13
attending	13
cold	13
carrying	13
millennials	13
form	13
crisis	12
wi	12
sunday	12
bot	12
rock	12
music	12
angry	12
dropping	12
set	12
private	12
walking	12
service	12
unarmed	12
refuse	12
studentsstandup	12
mile	12
inch	12
speakers	12
israel	12
tax	12
endgunviolence	12
couple	12
mike	12
letting	12
information	12
twibbon	12
common-sense	12
hours	12
deep	12
l.a	12
featuring	12
hollywood	12
view	12
selena	12
press	12
wouldn’t	12
host	12
celebrities	12
invited	12
mondaymotivation	12
image	12
ability	12
dropped	12
remind	12
decided	12
act	12
pa	12
trip	12
bringing	12
light	12
offers	12
fed	12
tyranny	12
parklandstudentsspeak	12
attacked	12
threat	12
hand	12
opportunity	12
wing	12
bit	12
banning	12
born	12
emmagonzalez	12
experiences	12
cyrus	12
miles	12
park	12
momentum	12
names	12
shame	12
banassaultweapons	12
kyle	12
gotta	12
parklandstrong	12
lets	12
area	12
proudly	12
blue	12
avoid	12
voted	12
peers	12
tednugent	12
ave	12
dont	12
funds	12
mark	12
learning	11
bigger	11
bump	11
reading	11
league	11
idiot	11
thurs	11
lauraingraham	11
fbr	11
questions	11
medical	11
north	11
leave	11
staff	11
owned	11
performed	11
deal	11
precious	11
cops	11
chavez	11
size	11
harry	11
academy	11
goal	11
acknowledge	11
garbage	11
citizen	11
pushing	11
official	11
you’ve	11
funding	11
biggest	11
original	11
saturday’s	11
brought	11
peaceful	11
date	11
mccartney	11
book	11
turned	11
hoping	11
simply	11
logic	11
training	11
downtown	11
advance	11
sponsors	11
london's	11
donations	11
tragedy	11
forces	11
waiting	11
turns	11
piece	11
condoms	11
driving	11
marco	11
paper	11
letter	11
spend	11
ignorant	11
hopeful	11
promise	11
insane	11
protested	11
personal	11
wearing	11
we’ve	11
seconds	11
broke	11
dealing	11
ha	11
purpose	11
stella	11
perfect	11
adult	11
fire	11
changing	11
reality	11
straight	11
west	11
mind	11
platform	11
pay	11
podcast	11
cried	10
hotel	10
leftists	10
historic	10
rallies	10
corrupttothecore	10
stopped	10
middle	10
po	10
outrage	10
nrabloodmoney	10
steve	10
finally	10
poor	10
prior	10
ways	10
appears	10
click	10
potter	10
wall	10
scott	10
fuentes	10
daca	10
motivated	10
putting	10
spoken	10
plane	10
needed	10
super	10
winning	10
youtubeshooter	10
advocating	10
stepping	10
irony	10
tired	10
abc	10
charlie	10
passion	10
shirt	10
worried	10
court	10
firearms	10
ho	10
measures	10
complicit	10
note	10
extremely	10
christian	10
they’ll	10
planning	10
signed	10
count	10
townhall	10
owner	10
border	10
wear	10
passionate	10
advocacy	10
nazi	10
fyi	10
statement	10
affected	10
houston	10
access	10
treason	10
bluewave	10
slaughter	10
rocks	10
classmates	10
excellent	10
gaza	10
african	10
include	10
sinclairstrike	10
large	10
write	10
account	10
corrupt	10
weird	10
senior	10
city=no	10
level	10
aka	10
body	10
required	10
domestic	10
arms	10
companies	10
feeling	10
applied	10
lived	10
votes	10
sounds	10
pods	10
pr	10
threw	10
living	10
food	10
crowds	10
climb	10
y'all	10
creating	10
completely	10
head	10
partners	10
father	10
program	10
constituents	10
claims	9
christ	9
astroturf	9
robert	9
individual	9
candidates	9
picking	9
polls	9
liar	9
humanity	9
generations	9
goa	9
adler	9
rallying	9
confiscation	9
representative	9
articulate	9
race	9
eyes	9
woke	9
kills	9
pulling	9
goptraitors	9
reporting	9
honest	9
digital	9
draft	9
ohio	9
cpr	9
reported	9
passed	9
marjorie	9
fought	9
documentary	9
solve	9
luck	9
dedicated	9
ladies	9
stormydaniels	9
naomiwadler	9
print	9
cutting	9
liberalismisamentaldisorder	9
yr	9
kc	9
relocatetherace	9
shooters	9
samantha	9
alive	9
closer	9
chanting	9
spot	9
rubio	9
footage	9
weak	9
dramatic	9
spreading	9
film	9
faith+interest	9
blame	9
reasons	9
defundpp	9
saturday's	9
michael	9
btw	9
canada	9
album	9
buying	9
hmm	9
congressman	9
matters	9
civilians	9
extraordinary	9
bye	9
dark	9
failed	9
shots	9
african-american	9
battle	9
ownership	9
channel	9
fool	9
grateful	9
parenthood	9
democrat	9
sound	9
break	9
mistake	9
bus	9
pro-gun	9
bc	9
crazy	9
perspective	9
prevent	9
repealing	9
ny	9
joan	9
blacktwitter	9
lunch	9
memory	9
friendly	9
ben	9
dude	9
anniversary	9
participation	9
ndamendmentrights	9
thoughtful	9
vermont	9
apparently	9
force	9
ashallnotbeinfringed	9
russia	9
austin	9
accepted	9
knowing	9
hearts	9
played	9
noticed	9
younger	9
build	9
wanna	9
lgbtq	9
figure	9
birthday	9
starts	9
kindly	9
wave	9
parent	9
bet	9
metal	9
career	9
cool	9
maryland	9
counted	9
benefit	9
murders	9
equal	9
limited	9
