Word	Count
students,parkland	72
gun,students	64
gun,march	42
students,school	41
march,today	40
gun,people	37
march,students	35
gun,school	31
students,today	30
people,today	28
gun,parkland	28
gun,today	22
kids,parkland	22
parkland,school	21
march,parkland	21
gun,kids	20
kids,school	19
march,people	19
march,kids	19
students,neveragain	18
march,marchforourlivesdc	18
people,marchforourlivesdc	17
neveragain,parkland	16
marchforourlivesdc,neveragain	16
kids,today	15
march,neveragain	15
gun,neveragain	15
neveragain,today	13
school,today	13
gun,marchforourlivesdc	12
march,school	12
marchforourlivesdc,today	12
marchforourlivesdc,parkland	12
kids,neveragain	11
neveragain,school	10
parkland,today	10
people,kids	9
kids,marchforourlivesdc	9
people,school	9
people,parkland	7
marchforourlivesdc,school	7
students,marchforourlivesdc	7
people,students	7
people,neveragain	4
students,kids	3
