Word	Count
gun	98
people	74
students	70
neveragain	62
march	56
violence	54
today	47
trump	47
parkland	47
guns	45
nra	40
kids	38
student	30
school	30
support	29
movement	28
change	27
maga	26
dc	25
lives	25
young	24
hey	23
day	23
time	22
world	22
country	21
good	21
proud	21
stand	20
shooting	20
control	20
town	19
high	19
join	18
hope	18
work	18
left	18
watch	17
mass	16
vote	16
part	15
resist	15
saturday	15
news	15
war	15
powerful	14
marching	14
event	14
youth	14
gunreformnow	14
amendment	14
feel	14
resistance	14
laws	14
hall	14
rights	14
give	14
show	13
america	13
video	13
years	13
stoneman	13
sign	13
amazing	13
friends	12
douglas	12
speech	12
child	12
guncontrol	12
retweet	12
city	12
state	12
washington	12
london's	11
justice	11
black	11
survivors	11
enoughisenough	11
davidhogg	11
top	11
msdstrong	11
protest	11
important	11
fight	11
stabbings	11
americans	11
history	10
marched	10
protect	10
city=no	10
check	10
love	10
president	10
police	10
remember	10
happened	10
democracy	10
king	10
happy	10
afghanistan	10
read	10
group	10
leading	10
law	9
social	9
action	9
free	9
rt	9
experiences	9
issue	9
victims	9
we’re	9
stop	9
brother	9
children	9
organizers	9
d.c	9
report	9
moment	9
youtube	9
guncontrolnow	9
theresistance	9
gop	9
crowd	9
incredible	8
great	8
year	8
future	8
led	8
forget	8
call	8
american	8
activists	8
clear	8
photo	8
defundpp	8
farmers	8
shootings	8
making	8
demand	8
schools	8
rally	8
thousands	8
participation	8
government	8
related	8
marjory	8
teens	8
tcot	8
gunviolence	8
mt	8
epa	8
citizens	8
sinclairstrike	8
john	8
gave	8
real	8
assault	8
deaths	7
weekend	7
hands	7
gunreform	7
common	7
create	7
problem	7
family	7
tomorrow	7
sense	7
talking	7
listen	7
obama	7
corrupt	7
elections	7
words	7
blacklivesmatter	7
chicago	7
marches	7
politicians	7
life	7
lost	7
hold	7
paul	7
killed	7
true	7
called	7
protesters	7
solidarity	7
house	7
civil	7
signs	6
emma	6
ted	6
strong	6
year-old	6
calling	6
meeting	6
voices	6
white	6
everyday	6
terrorist	6
scottpruitt	6
ready	6
activist	6
honored	6
facts	6
florida	6
story	6
money	6
running	6
survivor	6
luther	6
night	6
standing	6
issues	6
beautiful	6
talk	6
states	6
can’t	6
wow	6
latest	6
ingraham	6
democratic	6
armed	6
breaking	6
townhallforourlives	6
organized	6
stay	6
gunsense	6
you’re	6
weapons	6
open	6
media	6
streets	6
leaders	6
trumprussia	6
speak	6
represent	6
share	5
article	5
access	5
buy	5
follow	5
weeks	5
live	5
demanding	5
ban	5
permit	5
minutes	5
popular	5
fox	5
martin	5
small	5
laura	5
unalienable	5
hero	5
watched	5
stands	5
million	5
msd	5
care	5
voters	5
aren’t	5
beginning	5
friday	5
public	5
fighting	5
silence	5
naomi	5
holding	5
shill	5
communities	5
spread	5
waiting	5
wanted	5
paid	5
won’t	5
hard	5
energy	5
hundreds	5
wasn’t	5
marco	5
